"filename", "language", "Properties", "Ignore", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "SCSS", "Vue", "HTML", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-194fe9b9.8440ee9f.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-2d22ce72.b2930d1f.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-3aeee85e.3e82ad1d.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-72f4ea13.4f428657.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-7ac8b24c.19132c5a.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-93ff1b30.0eb5d809.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-f2a1db84.55aafc0a.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-fd875552.6592d5a3.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-fed3de7a.37e41274.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-vendors.a0974427.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 38
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\precache-manifest.507cd9eba36703fda12a42abea7145ff.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\service-worker.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 35
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31080, 0, 0, 0, 1, 31081
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 59
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\browserconfig.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\html_code.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 6, 40
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 59
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\AdminAPI.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\BaseApi.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\CarsApi.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\DiscordApi.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\InfoGeneralApi.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\RegisterApi.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\SessionsApi.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\UserAPI.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\LayoutBase.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 18, 9, 68
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\AppMain.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 2, 6, 108
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\Menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 9, 100
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\NavBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 10, 19, 121
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\main.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\DiscordAuthTokenModel.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\DiscordGetTokenModel.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 1, 10
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\LoginModel.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\RegisterModel.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\ValidationModel.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Authentication\AuthParams.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Authentication\AuthUser.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Authentication\Token.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Cars\EditCarDTO.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Cars\OriginalCarDTO.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Sessions\addUsersInSession.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Sessions\editSessionDateDTO.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Sessions\newSessionDTO.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\User\UserDTO.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\User\userProfil.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\User\userRegister.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\carousel\Imges.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\plugins\vuetify.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\registerServiceWorker.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 168, 10, 387
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\scss\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
