Date : 2022-08-19 13:32:19
Directory : c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp
Total : 114 files,  35415 codes, 330 comments, 413 blanks, all 36158 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-f2a1db84.55aafc0a.js                         | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-fd875552.6592d5a3.js                         | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-fed3de7a.37e41274.js                         | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\js\chunk-vendors.a0974427.js                          | JavaScript         |          6 |         32 |          0 |         38 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\manifest.json                                         | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\precache-manifest.507cd9eba36703fda12a42abea7145ff.js | JavaScript         |        126 |          0 |          0 |        126 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\service-worker.js                                     | JavaScript         |         12 |         17 |          6 |         35 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\package-lock.json                                          | JSON               |     31,080 |          0 |          1 |     31,081 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\package.json                                               | JSON               |         58 |          0 |          1 |         59 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\README.md                                 | Markdown           |         18 |          0 |          7 |         25 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\browserconfig.xml                         | XML                |          9 |          0 |          1 |         10 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\html_code.html                            | HTML               |         11 |          0 |          0 |         11 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\safari-pinned-tab.svg                     | XML                |         35 |          0 |          1 |         36 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\img\icons\site.webmanifest                          | JSON               |         20 |          0 |          1 |         21 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\public\index.html                                          | HTML               |         33 |          1 |          6 |         40 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\App.vue                                                | Vue                |         54 |          0 |          5 |         59 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\AdminAPI.ts                                        | TypeScript         |         36 |          0 |          2 |         38 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\BaseApi.ts                                         | TypeScript         |         57 |          0 |          7 |         64 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\CarsApi.ts                                         | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\DiscordApi.ts                                      | TypeScript         |         29 |          0 |          2 |         31 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\InfoGeneralApi.ts                                  | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\RegisterApi.ts                                     | TypeScript         |         24 |          0 |          2 |         26 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\SessionsApi.ts                                     | TypeScript         |         37 |          0 |          8 |         45 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\api\UserAPI.ts                                         | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\LayoutBase.vue                                  | Vue                |         41 |         18 |          9 |         68 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\AppMain.vue                          | Vue                |         14 |          0 |          3 |         17 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\Login.vue                            | Vue                |        100 |          2 |          6 |        108 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\Menu.vue                             | Vue                |         91 |          0 |          9 |        100 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\layout\components\NavBar.vue                           | Vue                |         92 |         10 |         19 |        121 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\main.ts                                                | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\DiscordAuthTokenModel.ts                   | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\DiscordGetTokenModel.ts                    | TypeScript         |          7 |          2 |          1 |         10 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\LoginModel.ts                              | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\RegisterModel.ts                           | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Auth\ValidationModel.ts                         | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Authentication\AuthParams.ts                    | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Authentication\AuthUser.ts                      | TypeScript         |         25 |          0 |          3 |         28 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Authentication\Token.ts                         | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Cars\EditCarDTO.ts                              | TypeScript         |         27 |          0 |          1 |         28 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Cars\OriginalCarDTO.ts                          | TypeScript         |         37 |          0 |          1 |         38 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Sessions\addUsersInSession.ts                   | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Sessions\editSessionDateDTO.ts                  | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\Sessions\newSessionDTO.ts                       | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\User\UserDTO.ts                                 | TypeScript         |         15 |          0 |          1 |         16 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\User\userProfil.ts                              | TypeScript         |         79 |          0 |          3 |         82 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\User\userRegister.ts                            | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\models\carousel\Imges.ts                               | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\plugins\vuetify.ts                                     | TypeScript         |         23 |          0 |          3 |         26 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\registerServiceWorker.ts                               | TypeScript         |         27 |          1 |          2 |         30 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\router\index.ts                                        | TypeScript         |        209 |        168 |         10 |        387 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\scss\styles.scss                                       | SCSS               |         26 |          0 |          5 |         31 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\scss\variables.scss                                    | SCSS               |         13 |          3 |          5 |         21 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\shims-tsx.d.ts                                         | TypeScript         |         10 |          2 |          2 |         14 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\shims-vue.d.ts                                         | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\shims-vuetify.d.ts                                     | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\index.ts                                         | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\modules\Authentication.ts                        | TypeScript         |        148 |          9 |         28 |        185 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\modules\CookieAndStorage.ts                      | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\modules\NavigationMod.ts                         | TypeScript         |         67 |         23 |         24 |        114 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\admin\userCarlist.vue                            | Vue                |        311 |          1 |         24 |        336 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\admin\userList.vue                               | Vue                |        251 |          2 |         24 |        277 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\confirmaccount.vue                | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\forgotpassword.vue                | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\logout.vue                        | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\register.vue                      | Vue                |        195 |          2 |         17 |        214 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\resetpassword.vue                 | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\validation.vue                    | Vue                |         70 |          0 |          7 |         77 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\entreprises\concessionnaire.vue                  | Vue                |        203 |          0 |         16 |        219 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\entreprises\entreprises.vue                      | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\entreprises\mecano.vue                           | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\profil\profil.vue                                | Vue                |        630 |          3 |          9 |        642 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\calendar.vue                               | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\home.vue                                   | Vue                |         62 |          4 |          4 |         70 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\legal.vue                                  | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\news.vue                                   | Vue                |          9 |          0 |          3 |         12 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\rules.vue                                  | Vue                |         55 |          0 |          6 |         61 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\sessions.vue                               | Vue                |        390 |          0 |         38 |        428 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\test.vue                                   | Vue                |         10 |          2 |          3 |         15 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\tsconfig.json                                              | JSON with Comments |         29 |         11 |          1 |         41 |
| c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\vue.config.js                                              | JavaScript         |         36 |          0 |          1 |         37 |
| Total                                                                                                                     |                    |     35,415 |        330 |        413 |     36,158 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
